Phylum	Class	Order	Family	Species	N_genomes	BUSCO	genome_size	technology	Ploidy
Streptophyta	Anthocerotopsida	Anthocerotales	Anthocerotaceae	Anthoceros angustus	1	77.2	33.16	Oxford Nanopore PromethION	NA
Streptophyta	Bryopsida	Hypnales	Hylocomiaceae	Pleurozium schreberi	1	52.4	71.7	Illumina	NA
Streptophyta	Bryopsida	Pseudoditrichales	Ditrichaceae	Ceratodon purpureus	2	79.5	301.78	PacBio Sequel1	NA
Streptophyta	Bryopsida	Funariales	Funariaceae	Physcomitrium patens	3	88.91	409.27	Sanger	NA
Streptophyta	Bryopsida	Hypnales	Hylocomiaceae	Pleurozium schreberi	1	NA	71.7	Illumina	NA
Streptophyta	Bryopsida	Pottiales	Pottiaceae	Syntrichia caninervis	1	NA	92.23	Illumina HiSeq	NA
Streptophyta	Sphagnopsida	Sphagnales	Sphagnaceae	Sphagnum fallax	1	NA	328.33	PacBio Sequel I; Illumina HiSeq-Rapid	NA
Streptophyta	Marchantiopsida	Marchantiales	Marchantiaceae	Marchantia inflexa	1	47.3	58.69	Illumina HiSeq	NA
Streptophyta	Marchantiopsida	Marchantiales	Marchantiaceae	Marchantia paleacea	1	77	211.01	Oxford Nanopore GridION	NA
Streptophyta	Marchantiopsida	Marchantiales	Marchantiaceae	Marchantia polymorpha	5	77.2	183.88	ABI-3730XL	NA
NA	NA	NA	NA	Gnetum monatum	NA	81	NA	NA	NA
Streptophyta	Lycopodiopsida	Isoetales	Isoetaceae	Isoetes engelmannii	1	59.7	362.37	Illumina	NA
Streptophyta	Lycopodiopsida	Selaginellales	Selaginellaceae	Selaginella kraussiana	1	36.8	37.48	Illumina HiSeq	2
Streptophyta	Lycopodiopsida	Selaginellales	Selaginellaceae	Selaginella moellendorffii	2	87.3	240.33	Sanger	2
Streptophyta	Lycopodiopsida	Selaginellales	Selaginellaceae	Selaginella tamariscina	1	49.1	92.41	NA	NA
Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia chinensis	3	93.6	192.56	Illumina	NA
Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia eriantha	2	NA	201.18	PacBio	6
Streptophyta	Magnoliopsida	Alismatales	Araceae	Colocasia esculenta	3	74.1	1593.7	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Alismatales	Araceae	Spirodela intermedia	1	96.1	123.25	NA	NA
Streptophyta	Magnoliopsida	Alismatales	Araceae	Spirodela polyrhiza	6	86	818.95	Illumina HiSeq; Bionano	4
Streptophyta	Magnoliopsida	Alismatales	Araceae	Wolffia australiana	3	77.8	141.74	PacBio Sequel	NA
Streptophyta	Magnoliopsida	Alismatales	Zosteraceae	Zostera marina	1	86.3	174.19	Illumina MiSeq; Illumina HiSeq	2
NA	NA	NA	NA	Zostera muelleri	NA	77	NA	NA	NA
Streptophyta	Magnoliopsida	Alismatales	Zosteraceae	Zostera nigricaulis	1	83.7	279.7	Illumina NovaSeq; Oxford Nanopore MinION	NA
Streptophyta	Magnoliopsida	Amborellales	Amborellaceae	Amborella trichopoda	2	97.77	539.56	454	NA
Streptophyta	Magnoliopsida	Apiales	Apiaceae	Apium graveolens	2	93.7	2263.3	Illumina; PacBio; HiC; 10x	NA
Streptophyta	Magnoliopsida	Apiales	Apiaceae	Centella asiatica	1	95.9	120.04	10x genomics; Hi-C	NA
NA	NA	NA	NA	Daucus carota	NA	95.1	NA	NA	NA
NA	NA	NA	NA	Foeniculum vulgare	NA	71.6	NA	NA	NA
Streptophyta	Magnoliopsida	Apiales	Apiaceae	Oenanthe javanica	1	89.9	382.83	Illumina HiSeq	NA
Streptophyta	Magnoliopsida	Apiales	Araliaceae	Panax ginseng	1	NA	915.14	Oxford Nanopore	NA
Streptophyta	Magnoliopsida	Apiales	Araliaceae	Panax notoginseng	2	85.4	695.67	PacBio	NA
Streptophyta	Magnoliopsida	Arecales	Arecaceae	Calamus simplicifolius	1	83.3	586.66	NA	NA
Streptophyta	Magnoliopsida	Arecales	Arecaceae	Cocos nucifera	3	90.1	1580.58	Illumina HiSeq2000	2
Streptophyta	Magnoliopsida	Arecales	Arecaceae	Elaeis guineensis	4	97.87	911.59	454	NA
Streptophyta	Magnoliopsida	Arecales	Arecaceae	Elaeis oleifera	2	57.6	315.89	454	NA
Streptophyta	Magnoliopsida	Arecales	Arecaceae	Phoenix dactylifera	6	95.77	644.28	PacBio	2
Streptophyta	Magnoliopsida	Asparagales	Amaryllidaceae	Allium sativum	1	NA	4325.94	PacBio	2
Streptophyta	Magnoliopsida	Asparagales	Asparagaceae	Asparagus officinalis	2	88.01	880.48	Illumina HiSeq	4
Streptophyta	Magnoliopsida	Asparagales	Asparagaceae	Asparagus setaceus	1	84.4	185.99	Oxford Nanopore GridION	NA
Streptophyta	Magnoliopsida	Asparagales	Orchidaceae	Apostasia shenzhenica	1	84.8	262.18	Illumina; PacBio	NA
Streptophyta	Magnoliopsida	Asparagales	Orchidaceae	Dendrobium catenatum	3	93.02	773.78	Illumina HiSeq	NA
