Genus	Species	Subspecies	Ploidy Level (x)	DNA Amount1C (pg)	Original Reference
Acacia	tortilis		4	0.5	Bukhari,1997
Acacia	caffra		2	0.6	Bukhari,1997
Acacia	nilotica	var. indica	4	0.5	Bukhari,1997
Acacia	polycantha		4	0.6	Bukhari,1997
Acacia	albida		2	0.6	Bukhari,1997
Acacia	drepanolobium		4	0.6	Bukhari,1997
Acacia	mellifera		2	0.6	Bukhari,1997
Acacia	cupularis		-	0.6	Gallagher et al.,2011
Acacia	modesta		2	0.6	Ohri,1996
Acacia	sieberana		2	0.6	Bukhari,1997
Acacia	pyrifolia		-	0.63	Gallagher et al.,2011
Acacia	victoriae		-	0.63	Gallagher et al.,2011
Acacia	jibberdingensis		-	0.64	Gallagher et al.,2011
Acacia	salicina		-	0.64	Gallagher et al.,2011
Acacia	cyclops		-	0.64	Gallagher et al.,2011
Acacia	ampliceps		-	0.65	Gallagher et al.,2011
Acacia	rupicola		-	0.65	Gallagher et al.,2011
Acacia	mangium		2	0.65	Blakesley et al.,2002
Acacia	tetragonophylla		-	0.66	Gallagher et al.,2011
Acacia	iteaphylla		-	0.67	Gallagher et al.,2011
Acacia	cambagei		-	0.68	Gallagher et al.,2011
Acacia	alata		-	0.68	Gallagher et al.,2011
Acacia	rigens		-	0.68	Gallagher et al.,2011
Acacia	lasiocalyx		-	0.68	Gallagher et al.,2011
Acacia	senegal		2	0.68	Odee et al.,2015
Acacia	auriculiformis		-	0.69	Gallagher et al.,2011
Acacia	stenophylla		-	0.69	Gallagher et al.,2011
Acacia	catechu		2	0.7	Ohri,1996
Acacia	mearnsii		2	0.7	Bukhari,1997
Acacia	tortilis	subsp. raddiana (Savi) Brenan	2	0.7	Ouarda et al.,2009
Acacia	leptoneura		-	0.71	Gallagher et al.,2011
Acacia	merrallii		-	0.72	Gallagher et al.,2011
Acacia	constricta		-	0.73	Sliwinska et al.,2009
Acacia	microcarpa		-	0.73	Gallagher et al.,2011
Acacia	glaucescens		-	0.74	Gallagher et al.,2011
Acacia	imbricata		-	0.75	Gallagher et al.,2011
Acacia	subulata		-	0.75	Gallagher et al.,2011
Acacia	myrtifolia		-	0.75	Gallagher et al.,2011
Acacia	macradenia		-	0.75	Gallagher et al.,2011
Acacia	stricta		-	0.75	Gallagher et al.,2011
Acacia	crassicarpa		-	0.76	Gallagher et al.,2011
Acacia	colletioides		-	0.77	Morgan & Westoby,2005
Acacia	quornensis		-	0.77	Gallagher et al.,2011
Acacia	hemiteles		-	0.77	Gallagher et al.,2011
Acacia	lineata		-	0.78	Gallagher et al.,2011
Acacia	acinacea		-	0.79	Gallagher et al.,2011
Acacia	extensa		-	0.79	Gallagher et al.,2011
Acacia	melanoxylon		2	0.8	Coulaud et al.,1995
Acacia	ramulosa		-	0.8	Gallagher et al.,2011
Acacia	implexa		2	0.8	Bukhari,1997
Acacia	heterophylla	cv. Ravenshoe	2	0.8	Marie & Brown,1993
Acacia	irrorata		-	0.81	Gallagher et al.,2011
Acacia	argyrophylla		-	0.81	Gallagher et al.,2011
Acacia	wilhelmiana		-	0.81	Morgan & Westoby,2005
Acacia	viscidula		-	0.81	Gallagher et al.,2011
Acacia	doratoxylon		-	0.81	Morgan & Westoby,2005
Acacia	calamifolia		-	0.82	Gallagher et al.,2011
Acacia	schinoides		-	0.82	Gallagher et al.,2011
Acacia	decora		-	0.82	Gallagher et al.,2011
Acacia	sophorae		2	0.8	Bukhari,1997
Acacia	longissima		-	0.83	Gallagher et al.,2011
Acacia	pycnantha		-	0.83	Gallagher et al.,2011
Acacia	howittii		-	0.85	Gallagher et al.,2011
Acacia	nubica		4	0.9	Bukhari,1997
Acacia	suaveolens		-	0.86	Gallagher et al.,2011
Acacia	brachybotrya		-	0.86	Gallagher et al.,2011
Acacia	terminalis		-	0.86	Gallagher et al.,2011
Acacia	ixiophylla		-	0.86	Gallagher et al.,2011
Acacia	decurrens		-	0.86	Gallagher et al.,2011
Acacia	kempeana		-	0.86	Gallagher et al.,2011
Acacia	smallii		-	0.86	Sliwinska et al.,2009
Acacia	retinodes		-	0.87	Gallagher et al.,2011
Acacia	pruinosa		-	0.87	Gallagher et al.,2011
Acacia	pendula		-	0.87	Gallagher et al.,2011
Acacia	baileyana		-	0.87	Gallagher et al.,2011
Acacia	dealbata		2	0.87	Blakesley et al.,2002
Acacia	podalyriifolia		-	0.87	Gallagher et al.,2011
Acacia	subporosa		-	0.88	Gallagher et al.,2011
Acacia	elata		-	0.88	Gallagher et al.,2011
Acacia	beckleri		-	0.88	Gallagher et al.,2011
Acacia	montana		-	0.88	Gallagher et al.,2011
Acacia	cognata		-	0.89	Gallagher et al.,2011
Acacia	paradoxa		-	0.89	Gallagher et al.,2011
Acacia	undulifolia		-	0.9	Gallagher et al.,2011
Acacia	cardiophylla		-	0.9	Gallagher et al.,2011
Acacia	saliciformis		-	0.9	Gallagher et al.,2011
Acacia	jonesii		-	0.91	Gallagher et al.,2011
Acacia	leiophylla		-	0.91	Gallagher et al.,2011
Acacia	verticillata		-	0.91	Gallagher et al.,2011
Acacia	silvestris		-	0.92	Gallagher et al.,2011
Acacia	oswaldii		-	0.92	Morgan & Westoby,2005
Acacia	acuminata		-	0.93	Gallagher et al.,2011
Acacia	deanei		-	0.94	Gallagher et al.,2011
Acacia	flexifolia		-	0.94	Gallagher et al.,2011
Acacia	aspera		-	0.94	Gallagher et al.,2011
Acacia	rubida		-	0.95	Gallagher et al.,2011
Acacia	vestita		-	0.95	Gallagher et al.,2011
Acacia	raddiana		6	1	Bukhari,1997
Acacia	uncinata		-	0.95	Gallagher et al.,2011
Acacia	caesiella		-	0.95	Gallagher et al.,2011
Acacia	tortilis		4	0.5	Bukhari,1997
Acacia	caffra		2	0.6	Bukhari,1997
Acacia	nilotica	var. indica	4	0.5	Bukhari,1997
Acacia	polycantha		4	0.6	Bukhari,1997
Acacia	albida		2	0.6	Bukhari,1997
Acacia	drepanolobium		4	0.6	Bukhari,1997
Acacia	mellifera		2	0.6	Bukhari,1997
Acacia	cupularis		-	0.6	Gallagher et al.,2011
Acacia	modesta		2	0.6	Ohri,1996
Acacia	sieberana		2	0.6	Bukhari,1997
Acacia	pyrifolia		-	0.63	Gallagher et al.,2011
Acacia	victoriae		-	0.63	Gallagher et al.,2011
Acacia	jibberdingensis		-	0.64	Gallagher et al.,2011
Acacia	salicina		-	0.64	Gallagher et al.,2011
Acacia	cyclops		-	0.64	Gallagher et al.,2011
Acacia	ampliceps		-	0.65	Gallagher et al.,2011
Acacia	rupicola		-	0.65	Gallagher et al.,2011
Acacia	mangium		2	0.65	Blakesley et al.,2002
Acacia	tetragonophylla		-	0.66	Gallagher et al.,2011
Acacia	iteaphylla		-	0.67	Gallagher et al.,2011
Acacia	cambagei		-	0.68	Gallagher et al.,2011
Acacia	alata		-	0.68	Gallagher et al.,2011
Acacia	rigens		-	0.68	Gallagher et al.,2011
Acacia	lasiocalyx		-	0.68	Gallagher et al.,2011
Acacia	senegal		2	0.68	Odee et al.,2015
Acacia	auriculiformis		-	0.69	Gallagher et al.,2011
