Phylum	Class	Order	Family	Genus	species	Common name	NCBI taxon ID	Genome accession #	Bioproject #	DOI of manuscript 	Submission date	Number of genomes for the species	Assembled length	Contig N50	Estimated genome size	Sequencing coverage	Assembler	Sequencing technology	Read length	BUSCO % complete (combined) 	BUSCO % complete and singly copy 	BUSCO  % complete and duplicated 	BUSCO  % fragmented 	BUSCO  % missing 	Chromosome number 	Ploidy number	Submitting institution 	Country of submission	Continent of submission	Domestication status
Anthocerotophyta	Anthocerotopsida	Anthocerotales	Anthocerotaceae	Anthoceros	agrestis					nature plants: https://doi.org/10.1038/s41477-020-0618-2	3/13/2020	2	122900000	1800000	129000000	210	MaSuRCA v.3.2.8	Nanopore + Illumina	Long 									USA	North America	Wild
Anthocerotophyta	Anthocerotopsida	Anthocerotales	Anthocerotaceae	Anthoceros	angustus		48387	GCA_010909165.1	PRJNA543716		20/02/20	1	119348994	796643	33164044	32	wtdbg v. 1.2.8	Oxford Nanopore PromethION	long	77,2	75,3	1,9	3,2	19,6			Institute of Botany, Chinese Academy of Sciences	China	Asia	Wild
Anthocerotophyta	Anthocerotopsida	Anthocerotales	Anthocerotaceae	Anthoceros	punctatus					nature plants: https://doi.org/10.1038/s41477-020-0618-2	3/13/2020	1	132800000	1700000	139000000	210	MaSuRCA v.3.2.8	Nanopore + Illumina	Long 									USA	North America	Wild
Bryophyta	Bryidae	Hypnales	Hylocomiaceae	Pleurozium	schreberi		34163	GCA_006891605.1	PRJNA509035		11/07/19	1	220032134	154439	71702578	162	AllPaths v. 52488	Illumina	short	52,4	49,9	2,5	10,7	36,9			Stockholm University	Sweden	Europe	Wild
Bryophyta	Dicranidae	Pseudoditrichales	Ditrichaceae	Ceratodon	purpureus		3225	GCA_014871385.1	PRJNA258984		05/10/20	2	362511043	1405213	288587716	140,6	MECAT v. 1.0	PacBio Sequel1	long	79,5	70,6	8,9	1,9	18,6			DOE Joint Genome Institute	USA	North America	Wild
Bryophyta	Funariidae	Funariales	Funariaceae	Physcomitrium	patens		3218	GCA_000002425.2	PRJNA13064		24/01/18	2	471852792	465069	356042360	18,49	Arachne v. 3	Sanger	short	80,1	69,6	10,5	1,1	18,8			Moss Genome Consortium	Germany	Europe	Wild
Bryophyta 	Bryopsida	Hypnales	Fontinalaceae	Fontinalis	antipyretica	greater water-moss				doi:10.46471/gigabyte.8	01/01/20	1	385200000	29700	385200000	345		10x, Illumina HiSeq	short								BGI-Shenzhen 	China	Asia	Wild
Bryophyta 	Bryopsida	Hypnales	Hylocomiaceae	Pleurozium	schreberi	feather moss				doi:10.1534/g3.119.400279	01/01/19	1	318000000		318000000			10x, Illumina HiSeq	short								Stockholm University	Sweden	Europe	Wild
Bryophyta 	Bryopsida	Hypnales	Hypnaceae	Calohypnum	plumiforme					 https://doi.org/10.1073/pnas.1914373117	01/01/20		335000000	224333	434000000		MaSuRCA	Illumina and Pacbio	long 								University of Tokyo	Japan	Asia	Wild
Bryophyta 	Bryopsida	Pottiales	Pottiaceae	Syntrichia 	caninervis 					doi: 10.1111/tpj.15116	11/30/2020	1	331830000	204950		150	Meraculous v2.2.2.5	Illumina HiSeq	Short								USDA	USA	North America	Wild
Bryophyta 	Sphagnophytina	Sphagnales	Sphagnaceae	Sphagnum 	fallax 	peat moss				Phytozome 		1		998000			ARACHNE										JGI	USA	North America	Natural commodity
Marchantiophyta	Marchantiopsida 	Marchantiales	Marchantiaceae	Marchantia	inflexa		71450	GCA_006177815.1	PRJNA476339		10/06/19	1	208752592	1653	58693792	24	SOAPdenovo v. 2.04	Illumina HiSeq	short	47,3	44,4	2,9	4,9	47,8			University of Kentucky	USA	North America	Wild
Marchantiophyta	Marchantiopsida 	Marchantiales	Marchantiaceae	Marchantia	paleacea		56867	GCA_014180765.1	PRJNA362997		13/08/20	1	238457191	70283	76917866	112	"SPAdes v. 3.9.1; SOAPdenovo v. 2.4.0"	Illumina HiSeq	short	77	76	1	2,2	20,8			John Innes Centre	United Kingdom	Europe	Wild
Marchantiophyta	Marchantiopsida 	Marchantiales	Marchantiaceae	Marchantia	polymorpha		1480154	GCA_009936355.2	PRJNA553138		03/06/20	2	218618857	690967	796079849				long	77,2	76,3	0,9	2,2	20,6			Center for Molecular Biology of Plants (ZMBP)	Germany	Europe	Wild
Tracheophyta	Ginkgoopsida	Ginkgoales	Ginkgoaceae	Ginko 	biloba	ginko				doi:10.1186/s13742-016-0154-1	01/01/21	2	9870000000	1580000	9870000000			PacBio	long								The Southern Modern Forestry Collaborative Innovation Center	China	Asia	Natural commodity
Tracheophyta	Gnetopsida	Gnetales	Gnetaceae	Gnetum	monatum					Nature plants:  doi:10.1038/s41477-017-0097-2	01/01/18	1	4070000000	25020	4200000000		SOAP denovo 	Illumina HiSeq	Short	81%							Chineese academyof sciences 	China	Asia	Wild
Tracheophyta	Isoetopsida	Isoetales	Isoetaceae	Isoetes	engelmannii	Engelmann's quillwort	37427	GCA_011763485.1	PRJNA493620		27/03/20	1	1100146012	92757	359630251	120	SPAdes v. 2020	Illumina	short	59,7	56,3	3,4	7,9	32,4			IRIDIAN GENOMES	USA	North America	Wild
Tracheophyta	Lycopodiopsida	Selaginellales 	Selaginellaceae	Selaginella	kraussiana		81964	GCA_001021135.1	PRJNA284650		05/06/15	1	114502747	2414	37475882	150	ABySS v. 1.5.1	Illumina HiSeq	short	36,8	32,3	4,5	12,9	50,3	20	2	Shanghai Institutes for Biological Sciences	China	Asia	Wild
Tracheophyta	Lycopodiopsida	Selaginellales 	Selaginellaceae	Selaginella	moellendorffii		88036	GCA_000143415.2	PRJNA13078		06/07/10	2	212315224	119796	185943647				short	62	16,5	45,5	8,2	29,8	20	2	Selaginella Consortium	USA	North America	Wild
Tracheophyta	Lycopodiopsida	Selaginellales 	Selaginellaceae	Selaginella	tamariscina		137178	GCA_003024785.1	PRJNA416064		29/03/18	1	300729260	228918	92412485	50	FALCON v. 0.3	PacBio	long	49,1	41,9	7,2	10	40,9			"Chinese Academy of Medical Sciences &amp; Peking Union Medical College"	China	Asia	Wild
Tracheophyta	Magnoliopsida	Actinidiaceae	Actinidia	Actinidia	chinensis		1590841	GCA_003024255.1	PRJNA391506	https://doi.org/10.1038/s41438-019-0202-y	30/03/18	2	553842477	94268	417755930	90	"Anytag v. 2.5.2; Newbler v. 2.9; SSPACE2 v. 2.0"	Illumina HiSeq	short	93,6	74,3	19,3	2,7	3,7	58	2	The New Zealand Institute for Plant and Food Research Ltd	New Zealand	Oceania	Domesticated
